63596,US,87,12,Angevine
115750,US,86,12,Angevine
130739,US,88,14,Angevine
144460,US,86,12,Angevine
147326,US,87,12,Angevine
345,Portugal,91,14,Aragon??s
3244,Portugal,89,14,Aragon??s
19993,Portugal,91,40,Aragon??s
20473,Portugal,89,20,Aragon??s
28125,Portugal,91,14,Aragon??s
30874,Portugal,89,14,Aragon??s
39067,Portugal,90,70,Aragon??s
82927,Portugal,90,70,Aragon??s
102952,Portugal,89,18,Aragon??s
103830,Portugal,88,20,Aragon??s
104783,Portugal,87,8,Aragon??s
129656,Portugal,90,50,Aragon??s
143568,Portugal,87,45,Aragon??s
3170,Portugal,90,24,Aragonez
29215,Portugal,85,10,Aragonez
39901,Portugal,89,45,Aragonez
40451,Portugal,90,15,Aragonez
48777,Portugal,85,27,Aragonez
83761,Portugal,89,45,Aragonez
98733,Portugal,86,10,Aragonez
101375,Portugal,90,17,Aragonez
40725,Israel,86,38,Argaman
44895,Israel,88,36,Argaman
99795,Israel,88,36,Argaman
88797,Greece,83,18,Athiri
136497,Greece,83,18,Athiri
1737,France,90,32,Auxerrois
2010,France,90,22,Auxerrois
2728,France,89,24,Auxerrois
3304,France,89,24,Auxerrois
4933,Germany,87,16,Auxerrois
11246,France,90,32,Auxerrois
11544,US,90,27,Auxerrois
13791,US,89,30,Auxerrois
19155,US,90,22,Auxerrois
28569,US,90,25,Auxerrois
46089,US,90,22,Auxerrois
74217,US,90,25,Auxerrois
76725,US,90,22,Auxerrois
87643,US,89,22,Auxerrois
75349,Portugal,89,15,Avesso
79119,Portugal,89,13,Avesso
96092,Portugal,88,16,Avesso
83917,Portugal,87,13,Azal
2211,US,88,18,Baco Noir
39983,US,85,26,Baco Noir
43233,US,87,20,Baco Noir
43825,US,86,22,Baco Noir
44703,US,85,20,Baco Noir
45857,US,84,30,Baco Noir
46818,US,83,28,Baco Noir
50270,US,84,28,Baco Noir
92123,US,85,26,Baco Noir
91,Portugal,86,12,Baga
521,Portugal,92,40,Baga
5229,Portugal,90,41,Baga
5549,Portugal,89,28,Baga
6355,Portugal,88,9,Baga
15168,Portugal,91,60,Baga
20221,Portugal,90,70,Baga
33925,Portugal,88,9,Baga
36160,Portugal,93,70,Baga
36290,Portugal,88,23,Baga
65816,Portugal,88,11,Baga
76291,Portugal,92,28,Baga
85220,Portugal,88,23,Baga
111656,Portugal,88,11,Baga
134576,Portugal,88,11,Baga
145098,Portugal,91,60,Baga
13035,Portugal,91,20,Baga-Touriga Nacional
9083,Portugal,86,32,Bastardo
13360,Portugal,84,30,Bastardo
36501,Portugal,86,32,Bastardo
49930,Portugal,84,30,Bastardo
87861,Portugal,85,30,Bastardo
104980,Portugal,84,30,Bastardo
135591,Portugal,85,30,Bastardo
9355,Portugal,86,28,Bical
9577,Portugal,86,28,Bical
29515,Portugal,85,9,Bical
