2247.23,2247.23,2182.34,2185.83,-0.28,4137278,58.5,58.93,58.05,58.35,0.17,138545,58.35
2249.27,2257.91,2228.47,2249.67,0.02,1061391,58.25,58.87,57.67,58.25,0.00,124093,58.25
2282.98,2288.47,2244.3,2244.63,-0.18,626331,58.79,59.63,57.58,58.25,-0.92,77282,58.25
2300.1,2303.66,2281.13,2285.03,-0.06,4116069,59,59.48,58.22,58.79,-0.36,90533,58.79
2264.61,2298.54,2259.34,2298.54,0.18,988114,59.1,59.59,58.83,59,0.85,77827,59
2262.78,2264.17,2240.78,2257.62,-0.01,1748051,59.5,60.09,58.2,58.5,-1.68,60803,58.5
2269.4,2270.06,2247.96,2259.98,-0.04,1951920,59.5,60.38,58.54,59.5,0.71,102099,59.5
2275.22,2289.16,2263.44,2269,-0.01,2731410,59.98,60,59.08,59.08,-1.48,53276,59.08
2244.68,2279.19,2240.97,2270.84,0.18,2890592,59.89,60.5,59.18,59.97,1.03,237053,59.97
2219.76,2230.65,2210.14,2230.65,0.06,3713666,59.11,59.99,59,59.36,-0.22,41129,59.36
2219.58,2229.92,2203.06,2216.39,-0.01,2481907,59.3,59.8,58.6,59.49,0.83,90218,59.49
2272.83,2286.31,2218.25,2218.64,-0.24,2676263,59.15,60,58.56,59,-0.67,97280,59
2263.47,2279.27,2249,2272.09,-0.03,2998392,59,60,59,59.4,-0.59,54797,59.4
2295.87,2299.45,2264.91,2278.17,-0.07,3523730,60.4,60.4,59,59.75,-0.71,84783,59.75
2298.5,2307.9,2285.41,2294.37,0.01,627882,58.5,60.49,58.5,60.18,3.88,241726,60.18
2320.06,2334.15,2293.03,2293.03,-0.11,512077,58.95,59.95,57.93,57.93,0.03,144255,57.93
2288.77,2325.34,2283.13,2317.84,0.12,2655907,57.79,58.74,57.3,57.91,0.68,88383,57.91
2285.5,2303.38,2246.47,2291.23,-0.18,356814,58.12,58.12,56.32,57.52,-2.51,142137,57.52
2352.13,2352.73,2333.82,2333.82,-0.09,4035685,59.3,59.8,58.83,59,-1.26,111488,59
2345.61,2369.41,2344.59,2354.74,0.02,1548436,59.6,60.1,59.21,59.75,-0.25,174091,59.75
2340.37,2352.56,2332.76,2348.97,0.03,1049550,60.46,60.5,59.65,59.9,-0.66,58303,59.9
2355.85,2361.06,2341.26,2341.26,-0.04,383894,60.5,60.74,60.06,60.3,-0.99,47573,60.3
2312.13,2352.58,2312.13,2350.09,0.22,1146032,59.25,60.9,59.17,60.9,3.69,124378,60.9
2328.66,2331.87,2299.35,2299.35,-0.15,355722,58.3,59.11,57.04,58.73,1.05,190188,58.73
2315.57,2335.94,2304.33,2334.36,0.06,3369691,59.5,59.65,58.12,58.12,-2.29,177279,58.12
2357.51,2368.57,2316.85,2321.39,-0.15,2253085,59.5,59.85,59.3,59.48,-0.02,163942,59.48
2356.77,2363.14,2347.51,2356.77,-0.00,1003763,59.4,59.85,59.11,59.49,0.00,61616,59.49
2353.17,2372.2,2346.76,2358.03,-0.00,1111909,58.83,59.8,58.83,59.49,1.28,105021,59.49
2384.63,2384.63,2358.73,2358.73,-0.10,1172207,60,60,57.74,57.74,-3.77,123929,57.74
2387.95,2393.72,2377.41,2383.87,-0.00,3336522,58.6,60,58.6,60,2.39,95787,60
2339.7,2388.16,2338.84,2384.49,0.20,3389881,58.55,59.49,57.55,58.6,0.09,98622,58.6
2356.16,2372.94,2338.65,2338.65,-0.07,3738690,57.56,58.85,57.26,58.55,2.61,170860,58.55
2365.68,2375.28,2354.26,2354.26,-0.05,787506,58.7,59.23,57.01,57.06,-4.34,116757,57.06
2387.28,2387.28,2361.62,2365.58,-0.10,1761986,60.3,61.3,59.65,59.65,-0.83,273722,59.65
2411.41,2415.52,2386.07,2388.93,-0.08,3772430,60.5,60.69,60.15,60.15,-0.91,217155,60.15
2437.04,2437.04,2405.78,2408.73,-0.12,1181537,59.5,60,59.17,60,1.10,134257,60
2442.55,2458.64,2437.81,2437.81,-0.01,3684127,58.5,59.59,58.47,59.35,1.63,97348,59.35
2462.81,2463.12,2441.15,2441.15,-0.08,3971979,58,58.5,57.65,58.4,0.34,151524,58.4
2451.44,2461.84,2439.99,2460.74,0.05,1363180,57.1,59.92,57.1,59.16,0.87,84604,59.16
2501.45,2501.45,2462.61,2473.17,-0.17,2433552,57.95,58.67,57.21,58.65,1.49,93498,58.65
2522.37,2523.43,2505.41,2516.76,-0.03,1890343,59.1,59.1,57.1,57.79,-1.88,97015,57.79
2518.85,2526.83,2508.8,2524.83,0.02,2585527,56.79,57.66,56.61,57.52,2.31,56892,57.52
2521.14,2534.16,2515.08,2523.59,0.04,2478381,57.12,57.4,55.7,56.22,-1.54,87980,56.22
2515.54,2528.07,2511.79,2514.84,0.00,1725421,58,58,56.52,57.1,0.26,198153,57.1
2535.55,2536.72,2512.65,2513.58,-0.10,1617108,59.95,60,59.6,59.85,-0.20,71628,59.85
2537.11,2550.84,2533.78,2540.26,-0.01,3913736,59.52,60,59.52,59.97,0.96,68769,59.97
2537.79,2542.65,2511.2,2542.65,0.03,4119140,60,60.1,59.5,59.5,-0.03,61414,59.5
2525.11,2555.79,2525.11,2546.78,0.10,179330,60.45,60.56,57.76,59.52,-0.98,153818,59.52
2522.86,2527.64,2495.31,2522.61,-0.01,2393874,59.98,60.5,59.62,60.11,0.35,218446,60.11
2503.35,2526.5,2498.76,2524.54,0.07,2560475,60.85,61,60.2,60.5,-0.28,71318,60.5
2519.97,2536.86,2517.05,2523.09,0.03,2435116,60.4,60.98,60,60.67,-0.38,172069,60.67
2518.69,2529.38,2508.27,2514.63,-0.03,1707055,61.5,62,60.15,60.9,-1.63,111264,60.9
2549.16,2556.4,2516.77,2521.57,-0.11,2304216,60.1,61.98,60.02,61.91,3.18,254865,61.91
2547.24,2557.19,2539.8,2548.98,-0.00,369021,59.9,60.54,59.81,60,0.00,105935,60
2520.88,2558.58,2518.99,2549.4,0.12,404866,61.24,61.24,59.79,60,-0.96,127585,60
2524.02,2531.29,2508.31,2519.2,-0.01,2100641,62,62,60.58,60.58,-2.13,75380,60.58
2529.38,2534,2506.45,2522.78,0.01,2408359,61.35,62,61.35,61.9,1.44,85984,61.9
2510.36,2526.18,2500.87,2520.38,0.04,2201942,61,61.99,61,61.02,0.89,178377,61.02
2513.88,2528.43,2498.52,2509.5,0.02,1265547,60.13,60.63,59.43,60.48,0.58,91465,60.48
2468.91,2510.26,2468.91,2505.34,0.17,907203,60.79,60.79,60.08,60.45,-0.25,81731,60.45
2476.35,2503.65,2476.35,2503.65,0.11,762180,60.35,60.79,60.15,60.6,0.41,169009,60.6
2432.55,2475.59,2432.55,2475.33,0.17,2619129,60.7,60.7,59.31,60.35,-0.58,33481,60.35
2441.59,2442.98,2424.39,2434.89,-0.03,3432940,60.7,60.71,60.45,60.7,0.02,77029,60.7
2441.37,2444.53,2433.4,2442.47,-0.00,4085317,60.6,60.85,60.5,60.69,0.96,98104,60.69
2443.83,2451.52,2434.95,2443.62,0.01,4184671,60.3,60.59,59.45,60.11,-0.48,149915,60.11
2423.81,2441.89,2423.16,2441.89,0.07,4035845,59.49,60.4,59.41,60.4,1.68,139488,60.4
2422.16,2432.94,2419.01,2424.82,0.02,2566682,59,59.4,58.8,59.4,1.54,94434,59.4
2407.5,2431.6,2405.1,2420.78,0.08,2218648,58.94,59,57.86,58.5,-0.31,41050,58.5
2394.37,2400.89,2388.5,2400.65,0.03,486296,58.96,59,58.3,58.68,-0.54,107850,58.68
2390.61,2401.28,2388.15,2392.7,-0.01,4096546,58.8,59.47,58.54,59,-0.84,195408,59
2394.45,2403.11,2384.93,2395.94,-0.00,80470,57.9,60.3,57.64,59.5,3.30,424089,59.5
2383.57,2400.3,2383.56,2396.44,0.10,123649,57.47,57.7,57.29,57.6,0.17,146749,57.6
2379.49,2389.83,2373.18,2373.18,-0.01,2415909,57,57.93,57,57.5,0.00,186239,57.5
2383.55,2388.93,2372.07,2376.39,-0.08,2692512,57.6,57.99,57.42,57.5,-0.10,246398,57.5
2408.49,2413.2,2395.02,2395.4,-0.07,33935,56.99,57.6,56.66,57.56,0.81,247200,57.56
2405.98,2414.78,2399.83,2412.32,-0.01,1490523,57.88,57.88,57.04,57.1,-0.31,85196,57.1
2410.35,2414.39,2393.51,2414.39,0.03,1668791,57.98,57.98,56.64,57.28,-0.21,2270945,57.28
2387.65,2411.05,2383.97,2407.7,0.10,2661736,57.99,58,56.92,57.4,-0.52,278588,57.4
2352.78,2384.78,2352.78,2384.78,0.17,796651,57.51,57.99,57.51,57.7,0.59,270474,57.7
2333.12,2348.91,2332.43,2344.36,0.06,1802286,57.8,58,57.36,57.36,-0.68,254369,57.36
2315.57,2339.17,2311.04,2330.39,0.08,665697,58.11,58.49,57.51,57.9,0.00,159323,57.9
