002,1920
014,1374
015,17526
016,7866
019,1936
023,2321
024,11446
028,1632
029,44955
030,9397
033,12707
034,7367
036,7358
037,3696
038,1070
040,7981
042,6708
043,8651
044,4894
047,5388
048,2423
049,6507
051,6901
052,30920
053,12315
054,1480
055,10876
056,9302
057,5308
060,32535
062,25057
063,1195
065,7728
066,3022
068,3094
070,7834
071,6526
072,14420
073,57595
074,22144
075,9460
081,8949
082,2406
083,9729
084,13491
089,5517
091,4037
092,3721
095,5145
096,5140
099,8642
100,4098
101,11230
102,7262
104,3451
105,3296
106,16501
108,5139
110,3822
111,2029
112,6028
114,10775
116,3112
117,4062
118,13437
119,10967
122,3060
123,49525
124,3696
125,1358
126,10233
127,1077
128,39997
131,4644
132,5050
134,11784
135,3782
136,7441
137,29195
138,6311
139,3937
140,1198
141,8312
144,3937
148,14513
149,1983
150,1164
152,6379
156,37209
160,5758
162,8765
164,8210
165,15207
166,23750
169,2238
172,4474
173,3830
174,21261
175,9664
177,3331
178,2912
180,21910
181,6513
182,5154
184,2260
187,4521
188,11592
190,1222
192,10976
194,2238
198,14766
200,15265
202,1652
203,2355
204,27184
205,6538
206,23255
208,10105
209,7874
210,38913
211,8438
212,1700
215,6050
216,5622
218,1150
219,31308
220,16152
221,4327
222,18959
223,1818
224,7516
225,1238
226,1987
227,5211
228,8508
229,5962
235,24667
236,3394
237,1293
238,1041
239,16388
241,8792
242,14606
244,16190
246,1254
248,22543
249,2273
250,59000
251,9784
252,35805
254,5010
256,1823
257,119605
260,31172
261,4768
264,31621
266,4191
267,4848
269,4491
270,2799
271,11843
273,17658
277,8137
279,1964
280,37707
281,1121
283,2367
285,10786
290,6031
292,7513
293,1623
294,7041
296,18167
297,17028
299,3079
301,2579
303,6636
305,1095
307,22289
310,29957
312,7666
313,21312
315,21530
318,22529
320,12819
322,1848
323,13011
324,47198
326,10275
327,25443
329,1302
330,14732
331,10003
332,1354
333,13395
335,7365
336,5086
337,2678
338,3691
340,64083
341,16095
342,16008
343,20425
345,73900
346,6797
347,33542
348,55757
349,23674
351,10199
352,1173
353,6781
355,18406
356,35787
358,46615
359,47379
360,31801
361,48986
362,33861
363,14231
365,51755
366,7019
367,8610
368,5868
369,22784
370,117281
372,14919
373,1262
374,5192
375,53820
376,5887
377,2178
378,13886
379,27180
380,13164
381,20625
382,56846
383,2534
384,8900
385,27317
386,8928
392,2280
396,9870
398,10042
399,27552
400,8272
401,5308
403,8038
404,4831
405,11116
406,1768
407,2446
408,4348
409,3011
410,2360
411,6493
414,14915
415,12299
416,9503
417,15532
418,5864
419,2152
420,2625
422,23698
423,22700
424,87455
425,16191
426,21575
427,30915
428,78861
429,31534
430,42475
431,5965
432,3588
433,9791
434,7613
435,79895
436,12305
438,80885
439,45876
440,4658
441,2497
442,2860
445,2963
446,6094
451,9585
452,2261
454,3222
455,88920
463,14401
464,3627
472,1274
473,13234
474,5339
475,7534
477,4705
482,10080
493,3811
494,1361
501,7063
502,13015
503,2597
504,4019
505,2472
507,2037
508,3174
510,7046
514,104752
518,1242
521,7655
522,2956
523,9089
524,25658
525,23403
526,13924
528,19304
530,15216
534,1859
536,13600
540,3748
544,9645
546,10262
548,9669
549,8060
554,1838
556,5128
558,3203
560,7605
562,6074
564,6333
568,11259
570,2319
585,8673
588,1154
600,40672
601,2964
602,4322
604,40081
606,41261
607,17783
623,20068
700,20039
701,34799
702,22453
703,9431
704,18472
705,44398
706,8765
707,53598
708,5411
709,65869
710,18515
711,32773
712,7635
713,33568
714,33102
715,25163
716,12354
717,17634
718,7832
719,4770
720,2055
725,12498
726,22742
800,15556
D01,2057
D02,21561
D03,15172
D04,4158
D05,1828
D06,43290
D07,29727
D08,31086
D09,28169
D10,19324
D11,12489
D12,35647
D13,21555
D14,61713
D15,14824
D16,11354
D17,1842
D18,6858
D19,9440
D20,3653
D21,27047
D22,6914
D23,27780
D24,25400
D25,10374
D26,22648
D27,2250
D28,7955
D29,3238
D30,5062
D32,8640
D34,6907
D99,1739
PLT,15130
