112;118
118;132
132;129
129;121
121;135
135;148
148;148
148;136
136;119
119;104
104;118
118;115
115;126
126;141
141;135
135;125
125;149
149;170
170;170
170;158
158;133
133;114
114;140
140;145
145;150
150;178
178;163
163;172
172;178
178;199
199;199
199;184
184;162
162;146
146;166
166;171
171;180
180;193
193;181
181;183
183;218
218;230
230;242
242;209
209;191
191;172
172;194
194;196
196;196
196;236
236;235
235;229
229;243
243;264
264;272
272;237
237;211
211;180
180;201
201;204
204;188
188;235
235;227
227;234
234;264
264;302
302;293
293;259
259;229
229;203
203;229
229;242
242;233
233;267
267;269
269;270
270;315
315;364
364;347
347;312
312;274
274;237
237;278
278;284
284;277
277;317
317;313
313;318
318;374
374;413
413;405
405;355
355;306
306;271
271;306
306;315
315;301
301;356
356;348
348;355
